Problem_ID,y_Target,Newton_absTime,Newton_iterSteps,GMGF_absTime,GMGF_iterSteps,x0,f(x0),f'(x0),f''(x0),kappa
P_61ef17ca7ea757db,-0.281046,0.000665,12,0.000466,5,7.16245795056787,-0.028851398159210808,0.01716070263320138,-0.009924032991453204,-25
P_2c29557313e9d96f,0.0,0.000627,11,0.000576,9,-0.3535693542199283,-1.304112686552454,0.8605866573313283,-0.03848777003802836,0
P_159b656ae45a5ba5,-1.26368,0.000681,4,0.000218,4,2.15990552318779,-1.2454158547134146,0.18286937140611229,-0.026851438314282473,-1
P_7244d7e986dc98e5,-0.752074,0.000514,5,0.000283,4,3.225483333864391,-0.7198233913962648,0.2479721888318932,-0.0854240181258983,-1
P_cd15df2047ce4a0,-3.42627,0.002095,45,0.000199,2,2.604557475780097,-2.6989952565522723,0.2723423911446954,-0.027480736705390273,0
P_421a5658dcc43d99,-1.56256,0.00386,98,0.000598,8,2.099238617866199,-0.011062042098114974,0.0349870523112508,-0.09779921396609761,-25
P_1ee73b659afbaf7a,47.9459,0.000747,8,0.000294,8,882.3703906291566,99.43335950274819,0.04309789751009028,-8.36873487327288e-05,0
P_2755c225e2381c2f,-6668.32,0.000746,6,0.000323,6,5.317538648056896,-3210.1763217415632,-2408.30299922807,-1357.9781919039897,0
P_74df775bbd5383f7,-7500.0,0.001132,19,0.00213,19,-1.7078375621972626,88.34142044370883,-345.83371879699445,1219.7606537367635,0
P_39f396f95911d5c5,83.8588,0.000822,11,0.000366,11,182.50481573476867,104.10174661132442,0.06811986433086209,-0.0013158757510441529,0
P_3983504992cfd8b3,-4.52733,0.000778,6,0.000531,6,6.115622844670696,-6.392894002367202,2.344073667512961,1.4381077662795165,0
P_14893a1c35c59d9,0.167052,0.000784,5,0.000405,4,0.4537390491441826,0.16885570931529298,0.16702719162830776,-0.7543231728311102,-25
P_37962809463ddfda,-0.866293,0.00066,5,0.000272,4,0.4878744382232991,-0.9370186684412212,0.3304246868576384,-0.11651899515150083,-1
P_302de37fd0d58836,29.5483,0.000655,6,0.000269,6,100.9210028127481,31.525243384740325,0.07839308008902741,-0.0018106894072933556,0
P_7b211214a5d60464,0.532601,0.000909,7,0.000793,6,1.6617112779065586,0.4437331718932162,-0.1384600298262088,0.5467897692578172,25
P_7d396056c0206f06,0.134783,0.000708,5,0.000604,5,7.694536840723146,-0.24914547670399134,-4.749127945523037,10.001102215625595,0
P_2b92b1d049ed6cc6,-0.354213,0.000722,7,0.000619,6,1.6104891146853344,-0.09838729667684022,0.1880751659602227,-0.31296218703568435,-9
P_44ba500564ce5deb,0.685437,0.000612,6,0.000245,6,60.033232400372526,-4.753793105280522,0.23089904577667553,-0.00048310351762970925,0
P_14a6da9819dff552,-2500.0,0.001129,15,0.00101,15,2.3933840399021165,3417.3125388900276,6348.926346796716,8781.098900462674,0
P_13fb43469dd07931,106.854,0.000727,7,0.000271,7,1205.636386036009,114.90623536868912,0.012136650527331027,-3.165179735686175e-05,0
P_24dac76273a8a15a,-1.25001,0.000673,6,0.000408,5,0.4589261701243714,-0.8092191585471479,3.2749104921430545,-12.857877888021564,-1
P_55dbffa8b6830036,1.5657,0.000704,6,0.000306,6,0.7806619947384972,2.7548484262396964,-0.6926662514834354,0.17416077464523566,0
P_2c2c65ca08f48299,-0.0198176,0.000804,9,0.001032,14,1.347424864641443,-0.003592204939469384,0.014372907260454535,-0.055225357053780386,-25
P_1329ea087d6e0b97,0.14852,0.000741,3,0.002042,18,2.5777522841346308,0.12259895107688784,0.02364232427305093,-0.3881999459441242,-25
P_4cf52238ebee3723,-882.401,0.000683,7,0.000401,7,-9.349631508175303,-3945.043528264705,2611.153711460477,-1101.0013044931654,0
P_20c84a02474f56e,4582.18,0.012892,308,0.001002,21,0.5129070747764573,-2.1642994686726698,1.204334529454302,24.58588317906352,17
P_287e8cb7c80d3092,3.02943,0.000752,7,0.00027,7,766.8715757124587,78.59932057317843,0.06493613154104384,-8.893032456023325e-05,0
P_61ef17ca7ea757db,-0.051919,0.000674,6,0.000486,5,7.16245795056787,-0.028851398159210808,0.01716070263320138,-0.009924032991453204,-25
P_7244d7e986dc98e5,-0.543851,0.000642,6,0.000327,5,3.225483333864391,-0.7198233913962648,0.2479721888318932,-0.0854240181258983,-1
P_4c5b6ecfc09ac172,125.853,0.000771,9,0.000314,9,29.301674049002713,-8.303498053042802,0.37475314629963674,-0.0009955064645169468,0
P_571e50eda33ebce6,2.99449,0.000818,8,0.001719,6,6.18537271371499,6.9108123618454265,0.10488193264629941,-3.118312425897067,-25
P_39fe2bde799ab90,-8334.45,0.00075,5,0.000262,5,6.556064291651246,-9239.87244576751,-5635.654967766,-2578.981595235855,0
P_31497d9e80b7f2fb,-0.732094,0.000638,5,0.000333,5,2.4876914854495515,-0.6069304651536732,0.20443201364482963,-0.0688587088675769,-2
P_64743a3061cd0b55,0.123688,0.000751,6,0.00032,5,4.037662601778013,0.18400553233728753,-0.08335094935158652,0.03775636889588726,5
P_7b1db6d9b3415b5c,-3750.55,0.016177,359,0.004209,50,-0.19180097250146133,-0.9483324513965272,-0.2622976884672686,-0.07262275056613222,-1
P_55d39f3bb8bd9cf1,0.826342,0.000882,7,0.00161,13,4.868144618448023,0.5093836236344463,0.45281245256669594,0.06539153006032004,0
P_74ab2389b40f3124,0.732739,0.000806,5,0.064272,1500,3.5436228310264895,0.7656427128241127,-0.11217894317887585,0.016436015235242424,1
P_13df4c46a7fbd712,-5830.87,0.001819,38,0.001006,28,0.26751332258922034,5.876130162730314,-0.9344570338034239,-3.825552559398118,-4
P_582ba632776f0cb9,16.8254,0.001079,19,0.000349,9,50.292165623936754,43.5299871314279,0.11839420573114103,-0.007514188707898902,-1
P_1734ad262facf71f,3.17894,0.000879,6,0.000315,6,3.1762608261130403,3.0626056835988664,-0.3128479648424092,0.031957705045145016,0
P_5e05284159050d05,11.196,0.011692,294,0.024088,138,1.6320207384956191,1.6369721130213577,8.800796566806879,20.165448219728567,0
P_68d961e9247bc53c,0.967963,0.003198,80,0.000531,7,1.3387823359369921,0.01379087538948653,-0.05634829126789935,0.22697164508841672,25
P_9daf33d99847937,58.7072,0.000739,5,0.00022,5,389.5378180674106,50.99919565721921,0.07400645635317042,-9.60026321711315e-05,0
P_534145c0190f67a,8.17131,0.000627,4,0.000276,4,77.47516529342761,8.138428922320752,0.062126824427837166,-0.0007796568748161814,0
P_6768305f6b5b5c70,5000.0,0.000762,5,0.000324,5,-2.536476944440004,3630.0689829043986,-23990.865260523824,96813.9824322469,0
P_79db32a3bd518916,0.489267,0.000851,5,0.006791,31,2.745936143933619,2.7623410983252783,2.3610823964592718,-2.8355237602912404,-1
P_433a2e90dd54647c,1.7611,0.004738,116,0.000369,6,3.0795711285083662,0.7466023328755165,-0.2893238317332143,0.11211896336619974,1
