Problem_ID,y_Target,Newton_absTime,Newton_iterSteps,GMGF_absTime,GMGF_iterSteps
P_61ef17ca7ea757db,-0.281046,0.000665,12,0.000466,5
P_155c32f4ae9512d2,40.149,0.048697,1500,0.035665,1500
P_2c29557313e9d96f,0,0.000627,11,0.000576,9
P_159b656ae45a5ba5,-1.26368,0.000681,4,0.000218,4
P_7244d7e986dc98e5,-0.752074,0.000514,5,0.000283,4
P_cd15df2047ce4a0,-3.42627,0.002095,45,0.000199,2
P_421a5658dcc43d99,-1.56256,0.00386,98,0.000598,8
P_1ee73b659afbaf7a,47.9459,0.000747,8,0.000294,8
P_2755c225e2381c2f,-6668.32,0.000746,6,0.000323,6
P_44ba500564ce5deb,31.0046,0.048228,1500,0.035544,1500
P_77c894cae29c41f4,37.3924,0.048473,1500,0.037451,1500
P_74df775bbd5383f7,-7500,0.001132,19,0.00213,19
P_39f396f95911d5c5,83.8588,0.000822,11,0.000366,11
P_6818c0f16656a3b5,31.6021,0.048592,1500,0.035619,1500
P_3983504992cfd8b3,-4.52733,0.000778,6,0.000531,6
P_14893a1c35c59d9,0.167052,0.000784,5,0.000405,4
P_37962809463ddfda,-0.866293,0.00066,5,0.000272,4
P_302de37fd0d58836,29.5483,0.000655,6,0.000269,6
P_7b211214a5d60464,0.532601,0.000909,7,0.000793,6
P_7d396056c0206f06,0.134783,0.000708,5,0.000604,5
P_2b92b1d049ed6cc6,-0.354213,0.000722,7,0.000619,6
P_44ba500564ce5deb,0.685437,0.000612,6,0.000245,6
P_14a6da9819dff552,-2500,0.001129,15,0.00101,15
P_13fb43469dd07931,106.854,0.000727,7,0.000271,7
P_24dac76273a8a15a,-1.25001,0.000673,6,0.000408,5
P_55dbffa8b6830036,1.5657,0.000704,6,0.000306,6
P_2c2c65ca08f48299,-0.0198176,0.000804,9,0.001032,14
P_58e8d15798883bbe,6.1194,0.048793,1500,0.037138,1500
P_1329ea087d6e0b97,0.14852,0.000741,3,0.002042,18
P_4cf52238ebee3723,-882.401,0.000683,7,0.000401,7
P_20c84a02474f56e,4582.18,0.012892,308,0.001002,21
P_287e8cb7c80d3092,3.02943,0.000752,7,0.00027,7
P_61ef17ca7ea757db,-0.051919,0.000674,6,0.000486,5
P_7244d7e986dc98e5,-0.543851,0.000642,6,0.000327,5
P_4c5b6ecfc09ac172,125.853,0.000771,9,0.000314,9
P_571e50eda33ebce6,2.99449,0.000818,8,0.001719,6
P_5ae23bf20c7277c0,  17500
-(-----)
    3,0.000954,10,0.001681,10
P_39fe2bde799ab90,-8334.45,0.00075,5,0.000262,5
P_31497d9e80b7f2fb,-0.732094,0.000638,5,0.000333,5
P_64743a3061cd0b55,0.123688,0.000751,6,0.00032,5
P_74df775bbd5383f7,12500
-----
  3,0.001124,17,0.00197,17
P_7b1db6d9b3415b5c,-3750.55,0.016177,359,0.004209,50
P_55d39f3bb8bd9cf1,0.826342,0.000882,7,0.00161,13
P_74ab2389b40f3124,0.732739,0.000806,5,0.064272,1500
P_1de5c0b660fdf149,19.9497,0.048048,1500,0.037444,1500
P_13df4c46a7fbd712,-5830.87,0.001819,38,0.001006,28
P_582ba632776f0cb9,16.8254,0.001079,19,0.000349,9
P_1734ad262facf71f,3.17894,0.000879,6,0.000315,6
P_5e05284159050d05,11.196,0.011692,294,0.024088,138
P_68d961e9247bc53c,0.967963,0.003198,80,0.000531,7
P_9daf33d99847937,58.7072,0.000739,5,0.00022,5
P_534145c0190f67a,8.17131,0.000627,4,0.000276,4
P_6768305f6b5b5c70,5000,0.000762,5,0.000324,5
P_79db32a3bd518916,0.489267,0.000851,5,0.006791,31
P_433a2e90dd54647c,1.7611,0.004738,116,0.000369,6
P_77b0f82d32b5fb7f,2.81362,0.000785,9,0.000347,9
P_296c893417f4640f,5.71698,0.000783,5,0.00047,5
P_7e12f8178121d2e,0.0150602,0.000705,4,0.00052,4
P_27dd7a931a8f192c,12500
-----
  3,0.001508,27,0.000992,27
P_1ee73b659afbaf7a,72.1878,0.048435,1500,0.036413,1500
P_cd15df2047ce4a0,-3.14472,0.000523,5,0.00027,5
P_758afeee62d4c4f6,-4.12891,0.000857,7,0.00225,8
P_157ac4730b0de7b3,1.03341,0.000814,5,0.000745,6
P_20f55c0c549a3068,17500
-----
  3,0.000794,16,0.000944,16
P_5fc8f9f425b3ecf8,10298.,0.000764,4,0.000504,17
P_b93a695eb979011,0.0736875,0.00076,6,0.000312,4
P_113426327e1f73c0,81.0572,0.000931,7,0.001128,7
P_7ce06cbd80e4f81,1778.15,0.000924,11,0.000361,11
P_1553e6f365232b4a,44.0172,0.049331,1500,0.037411,1500
P_24dac76273a8a15a,-1.71894,0.00065,7,0.000474,6
P_14221c72c9a50719,11422.6,0.000912,10,0.000338,10
P_7ea296c3b3b11b90,61.4249,0.000892,14,0.000436,14
P_257725481df2601b,9359.32,0.049944,1500,0.035694,1500
P_3a7e758a0243d768,0.256628,0.000746,5,0.000548,5
P_24f11bb7ac3b4e95,29.0419,0.000796,8,0.000314,6
P_46a963189f2a723e,-4.99768,0.001015,8,0.000937,7
P_4fcdf184b3a38386,3.24451,0.00104,10,0.001067,10
P_4943b94ea7891dbd,9.31255,0.000823,6,0.00092,8
P_76c17bceea1af3e,10.6594,0.000621,8,0.000351,8
P_42050258b8771095,-3.61566,0.000835,4,0.000539,17
P_74ab2389b40f3124,0.679503,0.000737,5,0.000393,6
P_56a400ba7ba77e59,0.117589,0.000917,7,0.001389,11
P_9daf33d99847937,55.2331,0.000572,5,0.00023,5
P_5fc8f9f425b3ecf8,2635.7,0.000668,7,0.000269,7
P_1950fc2e619dded5,-9.43549,0.000895,8,0.000807,8
P_5645486e49215812,3.39184,0.000913,5,0.000956,6
P_25bab460f0e4482a,  25000
-(-----)
    3,0.000731,6,0.00033,6
P_433a2e90dd54647c,1.92542,0.009531,259,0.000366,6
P_78c152c28f50d20a,  2500
-(----)
   3,0.000996,7,0.000243,2
P_296c893417f4640f,3.65593,0.000699,6,0.000532,6
P_7218b8ff6a526ad7,3.22462,0.049014,1500,0.038044,1500
P_3ff9afd8bfae8bc3,0.087643,0.000766,5,0.000513,5
P_65fe3d8a702c966c,0.166667,0.000724,1,0.000815,8
P_11fa00850be3f21d,7915.98,0.000898,7,0.000376,7
P_534145c0190f67a,3.83352,0.047998,1500,0.049827,1500
P_1ff8ad2a8370aab1,-12.6604,0.014437,320,0.395977,1500
P_1a88481effcaeefe,-2.32803,0.000803,6,0.000418,5
P_27143b1e629499cc,453.905,0.000792,6,0.000259,6
P_2c4a2fd8a510c8e3,4.24864,0.080295,1500,0.004595,13
P_5e05284159050d05,11.7014,0.057528,1500,0.233811,1500
P_44950a809fe20184,18.6781,0.00077,11,0.000335,7
P_5d5ccb30b5a01d70,2921.03,0.0008,7,0.000267,7
P_3d3172ce9768f7ff,1250.,0.000759,9,0.000422,9
P_515e30cd4bf3a203,9.86239,0.00083,7,0.000293,7
P_5fc8f9f425b3ecf8,1541.08,0.00059,4,0.000208,4
P_36a4f341dec61016,9.14494,0.000686,5,0.000769,5
P_356900fc301cae8f,63.6401,0.000829,7,0.000279,7
P_63513568e289a10d,0.0948188,0.000829,5,0.00076,5
P_b9af5ef3af29935,20000
-----
  3,0.000694,3,0.065603,1454
P_6cc10a1afeed7f20,1395.,0.000992,6,0.000413,6
P_6b0f998422a4ec30,0.111079,0.00094,7,0.000497,5
P_48fdd7f669bc0a9d,9.34341,0.00087,10,0.000351,7
P_713863e7cf504367,-5000,0.001364,24,0.002009,24
P_7d598f8afb7b142b,30.0736,0.000826,9,0.000358,9
P_136202a179685817,10.527,0.000906,10,0.000435,7
P_4ca971d3e04f36e5,-9583.1,0.000882,7,0.000409,7
P_52cb00726dafd64c,11684.7,0.000783,4,0.035247,1500
P_588f3bf3c82bd05e,4745.13,0.000632,6,0.000245,6
P_5ae23bf20c7277c0,27500
-----
  3,0.001165,21,0.003358,21
P_7f45f3e8963ab640,2862.19,0.000881,8,0.000292,8
P_287fc41ced057337,-25.2084,0.00077,5,0.001817,5
P_130f7768a2912490,9.03273,0.001065,17,0.000267,6
P_3b62c8dc978c8dda,11.8577,0.000761,6,0.00033,6
P_4c5b6ecfc09ac172,108.568,0.000727,8,0.000318,8
P_38a74833335b6c8f,0.127426,0.000922,7,0.000551,6
P_6226bc1ef333e23c,-99.0036,0.000823,7,0.000622,7
P_78c152c28f50d20a,2500
----
 3,0.06224,1500,0.000462,9
P_356900fc301cae8f,87.1673,0.000747,10,0.000383,10
P_7b39c2bf10c8e206,1808.78,0.000846,8,0.000534,8
P_3e3bdb4d89f9ef09,2.73962,0.066645,1500,0.001509,16
P_2b9ee4f7ff8e79c,4084.7,0.000769,4,0.000502,17
P_308839b4a2e23f1a,0.0545594,0.000671,5,0.000394,4
P_475b723357e04ef1,9938.9,0.000872,8,0.000293,8
P_6c5fdc370e078504,0.266516,0.001051,7,0.000486,5
P_4c72c8631e47d3ee,19.701,0.000784,8,0.000338,8
P_36dd4c16177b360e,-1252.15,0.001132,13,0.000905,13
P_7f6508557fcc0299,-5000,0.000793,5,0.000275,5
P_6d138261d36c4960,-76.9634,0.001278,11,0.002117,11
P_25bab460f0e4482a,5000
----
 3,0.00115,17,0.000698,17
P_6767ed6c1274a770,-181.447,0.005527,106,0.110821,1500
P_24fe5a204c32e486,-1.49805,0.000705,3,0.004381,8
P_3ff22c4a1272f025,16.6513,0.067823,1500,0.395707,1500
P_64682e05c8c9d6c4,13421.,0.000436,6,0.000245,6
P_71c07a846ad6db09,62.7341,0.000741,9,0.000338,9
P_5a42e42dde67eb3d,-2.49606,0.000714,5,0.000584,5
P_5a42e42dde67eb3d,-1.66422,0.00062,5,0.000584,5
P_105464a1b68181f1,  12500
-(-----)
    3,0.000924,9,0.000846,9
P_700d90135dacc96f,-0.991618,0.000834,8,0.000489,6
P_609f02e867680aa7,-2.87886,0.000503,6,0.000488,5
P_542ca16c3c2f73f2,-3748.18,0.000915,15,0.000655,15
P_74ab2389b40f3124,0.812594,0.000737,5,0.000311,4
P_515e30cd4bf3a203,19.8133,0.00065,6,0.000277,6
P_53a1b953ad54c111,-2500,0.000945,8,0.001002,8
P_5e9b1660facde882,0.0855026,0.000823,7,0.000662,9
P_7215fd25bfff5e58,66.6102,0.000896,18,0.000546,18
P_f3c151a17304418,7915.25,0.000669,7,0.000344,7
P_3035e976410d85ff,3.42517,0.000783,6,0.003432,15
P_14893a1c35c59d9,0.157506,0.000663,6,0.000412,4
P_542ca16c3c2f73f2,-9166.42,0.001164,20,0.0008,20
P_421a5658dcc43d99,-0.0741264,0.000776,10,0.000534,6
P_7629e81f67f5aa0a,27.2062,0.049702,1500,0.036026,1500
P_7ba54870f9955a44,          -8
-2.0151 10,0.001313,23,0.001928,20
P_7d598f8afb7b142b,44.5161,0.000319,5,0.000241,5
P_234dcb8428bf30d6,6251.41,0.004024,78,0.000691,15
P_208c5de0c569e162,47.5467,0.000719,7,0.000299,7
P_2aa89af5cf835080,6072.9,0.000821,7,0.000267,7
P_4607cfd44e287c55,0.272448,0.00111,10,0.000627,7
P_49edea831eac2249,554.844,0.054266,1500,0.112618,1500
P_31497d9e80b7f2fb,-0.68651,0.000593,5,0.000342,5
P_77c894cae29c41f4,54.8577,0.000465,7,0.000291,7
P_2562d5e957be719a,0.896187,0.00378,78,0.037916,257
P_57c602b0fd807a6b,  27500
-(-----)
    3,0.001269,18,0.001402,18
P_720ee5e51da2031b,-10.0097,0.000992,9,0.000426,6
P_e4f4d56b186673,-9167.01,0.000822,4,0.001777,53
P_19e753da899c8060,7.65644,0.000863,5,0.000835,5
P_251bc3336123a780,-0.237375,0.000821,5,0.000687,5
P_157ac4730b0de7b3,0.206793,0.002916,54,0.007004,76
P_63513568e289a10d,0.11655,0.001068,14,0.001904,16
P_5d24e883b7112af2,0.954794,0.000874,9,0.000438,5
P_23c07aad09ee7328,30.9492,0.048853,1500,0.035826,1500
P_5d5ccb30b5a01d70,6973.89,0.000428,5,0.000219,5
P_106fb4d82bf7375e,197.189,0.002816,40,0.015262,32
P_4d5273c59b2d9768,-4.71416,0.009222,240,0.000207,2
P_5848060912b7e0f0,2500,0.001843,32,0.002287,32
P_7244d7e986dc98e5,-1.65438,0.00256,59,0.000376,6
P_18cdc65975ef1,-10000,0.001205,13,0.000961,13
P_39f396f95911d5c5,102.192,0.000554,6,0.000246,6
P_2ae0928e72108cf9,-3.69332,0.000667,5,0.001007,5
P_8fad95fdd3f1c6c,6.90057,0.001084,18,0.000399,7
P_1c79ea05a0cc32a4,-1.92679,0.001361,17,0.010092,124
P_157ac4730b0de7b3,0.317008,0.065966,1500,0.13222,1500
P_7638cd35d0a223b,-0.661174,0.0009,7,0.000382,6
P_57c602b0fd807a6b,  5000
-(----)
   3,0.000709,5,0.002096,28
P_5308297c687e8c07,-14.9049,0.002365,7,0.315661,1500
P_79db32a3bd518916,-3.67823,0.06057,1500,0.015343,72
P_4b04dc8f8246a3a3,4580.66,0.001889,37,0.000526,11
P_a0afe342cbe8929,-7916.47,0.001009,8,0.000548,8
P_776e683825796c1,2.84436,0.000782,8,0.000411,8
P_77b0f82d32b5fb7f,15.2769,0.000733,8,0.000318,8
P_944be7bb2ee0d73,-0.797211,0.000873,5,0.000308,4
P_6111d476e6d15e6,32.8755,0.048573,1500,0.037948,1500
P_700d90135dacc96f,-0.757403,0.000469,7,0.000504,6
P_b9af5ef3af29935,0,0.000837,15,0.000641,15
P_36a36a8816353aef,0.0918691,0.00092,6,0.000483,5
P_776e683825796c1,3.72384,0.048782,1500,0.051801,1500
P_7244d7e986dc98e5,-1.37675,0.000649,7,0.000379,6
P_45b8ecd03a5d25a8,4.41325,0.048884,1500,0.04257,1500
P_113426327e1f73c0,122.853,0.000831,8,0.001257,8
P_6f707b41db8b53c3,75.0661,0.001224,19,0.000568,19
P_43687530ee7979ac,-7.87632,0.000978,8,0.003683,37
