Problem_ID,y_Target,Newton_absTime,Newton_iterSteps,GMGF_absTime,GMGF_iterSteps
P_588f3bf3c82bd05e,36654.6,0.000437801,12,0.00031279,12
P_45c1bd926bea83d3,6665.76,0.00226583,66,0.00248705,70
P_3d3172ce9768f7ff,2916.67,0.000315773,8,0.000303065,8
P_1329ea087d6e0b97,0.0660086,0.000302093,6,0.000670374,6
P_4d5273c59b2d9768,-3.95343,0.000263096,6,0.000223346,6
P_582ba632776f0cb9,41.5278,0.000264575,7,0.000195871,6
P_5ea0998d17ad6fe8,0.0771755,0.000250451,5,0.00133568,5
P_4299dd0fb13581f9,-217.944,0.00032983,6,0.000315943,6
P_62ec84005831faf4,-1.55455,0.000276149,5,0.000243624,5
P_53a1b953ad54c111,-7500,0.000346238,7,0.000763307,7
P_338e8a442fc6b355,31.4018,0.000232568,6,0.000186397,6
P_26aaa5da622880bc,35.4413,0.000959587,29,0.000274783,9
P_49d5322b2f79676d,10000.,0.000351232,8,0.000504537,8
P_155c32f4ae9512d2,96.5258,0.000232227,6,0.000390492,15
P_7ba54870f9955a44,-0.69623,0.000284071,7,0.000417403,5
P_6cc10a1afeed7f20,2158.83,0.000321727,6,0.000309515,6
P_11fa00850be3f21d,830.303,0.000314659,7,0.000287463,7
P_7f22a699008cf2ce,-8333.6,0.00182439,51,0.00039239,12
P_25bab460f0e4482a,17500
-----
  3,0.00060679,17,0.000592473,17
P_6988dee1334a79b2,-2.09265,0.000209277,5,0.000462869,5
P_7e7ee7e7bb056614,3.21138,0.0699223,1500,0.399071,1500
P_6ca88c5c98f9fe82,-2.16445,0.000243384,6,0.000247924,6
P_668ff5f87e3d2e6,25000
-----
  3,0.00244573,57,0.00544973,57
P_7832d8e47253640c,0.625076,0.0474361,1500,0.0704084,1500
P_2df6edb776c5a32a,682.808,0.000303647,8,0.000222753,8
P_74ab2389b40f3124,0.99892,0.000256993,6,0.000213533,5
P_5480883cc302f1da,-3.02319,0.0100521,208,0.00757368,89
P_13ec720b0e9a9c19,0.786334,0.000200528,5,0.000300769,5
P_944be7bb2ee0d73,-0.704157,0.000270266,5,0.000246192,5
P_7e7ee7e7bb056614,0.755106,0.000323695,6,0.0019757,6
P_2ad19bb50783d979,7.81729,0.000169824,2,0.000713818,10
P_b93a695eb979011,0.0698234,0.000290584,6,0.000256944,4
P_6ad7f1f537ea7d4a,-0.296838,0.000214649,5,0.000475035,5
P_f3c151a17304418,1661.02,0.000320686,8,0.000271374,8
P_63513568e289a10d,0.120172,0.0005276,10,0.00149212,14
P_7832d8e47253640c,0.485216,0.000513562,15,0.000400485,7
P_3bf876b0be6d1f89,10063.8,0.000206981,5,0.000152552,5
P_4e3b08e8c62c7f15,-2.03312,0.0192483,564,0.000232131,6
P_630a04c7034fd306,17.3065,0.000264364,7,0.000384737,15
P_59784e34628d3200,-6.16356,0.000252782,5,0.000298385,5
P_6c5fdc370e078504,0.345564,0.000256507,5,0.000314567,4
P_544de9b76fc3d5e3,  12500
-(-----)
    3,0.000283307,6,0.000601387,6
P_6ad7f1f537ea7d4a,-0.80629,0.000284484,7,0.000473714,5
P_2ce58c89c1b62990,56.917,0.000262375,7,0.000317898,12
